# episode,score
1.000000000000000000e+00,1.399999968707561424e-02
2.000000000000000000e+00,3.279999926686286704e-01
3.000000000000000000e+00,5.219999883323908074e-01
4.000000000000000000e+00,7.664999828673899618e-01
5.000000000000000000e+00,8.054999819956719653e-01
6.000000000000000000e+00,7.304999836720525996e-01
7.000000000000000000e+00,8.114999818615615812e-01
8.000000000000000000e+00,9.274999792687594891e-01
9.000000000000000000e+00,1.180999973602592901e+00
1.000000000000000000e+01,1.583999964594841048e+00
1.100000000000000000e+01,1.247499972116202116e+00
1.200000000000000000e+01,1.603499964158981994e+00
1.300000000000000000e+01,2.108499952871352612e+00
1.400000000000000000e+01,2.578499942366033970e+00
1.500000000000000000e+01,3.100499930698424667e+00
1.600000000000000000e+01,2.490499944332987159e+00
1.700000000000000000e+01,3.017499932553619146e+00
1.800000000000000000e+01,3.265499927010387271e+00
1.900000000000000000e+01,3.666499918047338547e+00
2.000000000000000000e+01,3.991499910783022464e+00
2.100000000000000000e+01,4.951999889314175007e+00
2.200000000000000000e+01,4.017499910201877356e+00
2.300000000000000000e+01,4.779999893158674240e+00
2.400000000000000000e+01,5.651499873679131092e+00
2.500000000000000000e+01,5.137499885167926550e+00
2.600000000000000000e+01,5.527999876439571025e+00
2.700000000000000000e+01,6.438999856077134432e+00
2.800000000000000000e+01,5.222499883268028498e+00
2.900000000000000000e+01,6.290499859396367910e+00
3.000000000000000000e+01,6.033999865129589857e+00
3.100000000000000000e+01,6.593999852612614454e+00
3.200000000000000000e+01,6.167499862145632505e+00
3.300000000000000000e+01,5.767499871086329222e+00
3.400000000000000000e+01,7.154999840073287487e+00
3.500000000000000000e+01,6.659499851148575900e+00
3.600000000000000000e+01,8.444999811239540577e+00
3.700000000000000000e+01,9.408999789692462201e+00
3.800000000000000000e+01,8.382499812636524439e+00
3.900000000000000000e+01,8.413499811943619733e+00
4.000000000000000000e+01,8.954999799840152264e+00
4.100000000000000000e+01,8.939499800186604617e+00
4.200000000000000000e+01,8.531499809306115623e+00
4.300000000000000000e+01,8.231499816011638160e+00
4.400000000000000000e+01,1.037599976807832647e+01
4.500000000000000000e+01,8.665999806299804931e+00
4.600000000000000000e+01,9.934499777946621535e+00
4.700000000000000000e+01,8.946499800030142779e+00
4.800000000000000000e+01,8.005499821063130739e+00
4.900000000000000000e+01,7.859499824326485751e+00
5.000000000000000000e+01,8.336999813653529046e+00
5.100000000000000000e+01,9.131499795895070548e+00
5.200000000000000000e+01,9.207499794196337461e+00
5.300000000000000000e+01,8.198999816738069768e+00
5.400000000000000000e+01,1.000349977640435029e+01
5.500000000000000000e+01,1.018149977242574167e+01
5.600000000000000000e+01,9.326999791525304673e+00
5.700000000000000000e+01,1.053649976449087333e+01
5.800000000000000000e+01,1.022749977139756083e+01
5.900000000000000000e+01,1.156749974144622684e+01
6.000000000000000000e+01,1.135049974629655445e+01
6.100000000000000000e+01,1.111949975145980751e+01
6.200000000000000000e+01,1.129699974749237334e+01
6.300000000000000000e+01,1.286149971252307367e+01
6.400000000000000000e+01,1.144499974418431520e+01
6.500000000000000000e+01,1.423399968184530806e+01
6.600000000000000000e+01,1.343699969965964591e+01
6.700000000000000000e+01,1.440099967811256576e+01
6.800000000000000000e+01,1.661349962865933705e+01
6.900000000000000000e+01,1.476149967005476427e+01
7.000000000000000000e+01,1.742349961055442620e+01
7.100000000000000000e+01,1.565649965004995536e+01
7.200000000000000000e+01,1.842799958810210370e+01
7.300000000000000000e+01,2.075649953605607223e+01
7.400000000000000000e+01,2.204549950724467777e+01
7.500000000000000000e+01,2.117749952664598823e+01
7.600000000000000000e+01,2.086299953367561244e+01
7.700000000000000000e+01,2.219799950383603715e+01
7.800000000000000000e+01,2.017599954903125692e+01
7.900000000000000000e+01,2.185999951139092445e+01
